UUID,timeSlot,totalKeys,sharing,consumption,remainder
bf9e293b83ddbb32040aac0c6be221e5,1,0,0,0,0
cd4c30b63be63dae7decda66c45e6ee5,1,4294967295,3989124921,4294967295,0
a9448eba34ad3e5c3eff2f19199bad94,1,0,0,0,0
bf9e293b83ddbb32040aac0c6be221e5,2,2147483647,390263015,0,1
cd4c30b63be63dae7decda66c45e6ee5,2,2147483647,1925985812,2147483647,0
a9448eba34ad3e5c3eff2f19199bad94,2,2147483646,741064492,0,1
b28f42d989cfc821a762df290c62f729,2,0,0,0,0
bf9e293b83ddbb32040aac0c6be221e5,3,1073741823,882695060,536870911.5,0.5
cd4c30b63be63dae7decda66c45e6ee5,3,1073741823,819229869,1073741823,0
a9448eba34ad3e5c3eff2f19199bad94,3,1610612734,752965198,402653183.5,0.75
b28f42d989cfc821a762df290c62f729,3,1073741822,297757473,0,1
bf9e293b83ddbb32040aac0c6be221e5,4,536870911,179155899,402653183.3,0.25
cd4c30b63be63dae7decda66c45e6ee5,4,536870911,183182781,536870911,0
e7f180f200d2b3d396c7cf54570eaef2,4,0,0,0,0
2a5fdd3f3ba34c005a3b110662f2420e,4,0,0,0,0
a9448eba34ad3e5c3eff2f19199bad94,4,1342177278,892854239,503316479.3,0.625
b28f42d989cfc821a762df290c62f729,4,1342177277,722014753,223696660.2,0.833333
bf9e293b83ddbb32040aac0c6be221e5,5,268435455,104995284,234881023.1,0.125
cd4c30b63be63dae7decda66c45e6ee5,5,268435455,94929827,268435455,0
e7f180f200d2b3d396c7cf54570eaef2,5,0,0,0,0
1b7b4236e27163699013842b23f58639,5,0,0,0,0
2a5fdd3f3ba34c005a3b110662f2420e,5,469762044,256404068,58720255.5,0.875
a9448eba34ad3e5c3eff2f19199bad94,5,1140850686,1072932245,534773759.1,0.53125
b28f42d989cfc821a762df290c62f729,5,1140850685,1040541310,332748496.7,0.708333
bf9e293b83ddbb32040aac0c6be221e5,6,67108863,48962111,65011711.03,0.03125
cd4c30b63be63dae7decda66c45e6ee5,6,67108863,48381576,67108863,0
e7f180f200d2b3d396c7cf54570eaef2,6,1073741820,114590428,0,1
1b7b4236e27163699013842b23f58639,6,301989882,208523055,0,1
23e6fc29cc7fdf127fd57797caec1ef9,6,0,0,0,0
2a5fdd3f3ba34c005a3b110662f2420e,6,436207612,197556760,81788927.25,0.8125
a9448eba34ad3e5c3eff2f19199bad94,6,1107296254,822581272,536346623,0.515625
b28f42d989cfc821a762df290c62f729,6,1107296253,1094464169,346030079.1,0.6875
bf9e293b83ddbb32040aac0c6be221e5,7,33554431,28569950,33030143.02,0.015625
cd4c30b63be63dae7decda66c45e6ee5,7,33554431,22636651,33554431,0
e7f180f200d2b3d396c7cf54570eaef2,7,1275068407,1044807891,121434964.9,0.904762
1b7b4236e27163699013842b23f58639,7,234881018,84355844,52195729.58,0.777778
23e6fc29cc7fdf127fd57797caec1ef9,7,150994938,102014818,0,1
2a5fdd3f3ba34c005a3b110662f2420e,7,419430396,149820432,91750399.13,0.78125
8569bee0f4aba3c064656bff33a63b1f,7,0,0,0,0
