UUID,timeSlot,totalKeys,sharing,consumption,remainder,
10ac4169eb37c4de0176b3b8839b9b23,0,1.000000,0.000000,1.000000,0.0,
a5ebea9ff719df9ea3c4446b6b5a884f,0,0.000000,0.000000,0.333333,0.0,
10ac4169eb37c4de0176b3b8839b9b23,1,1.000000,0.000000,1.000000,0.0,
69d70afc0a6b0d88a4b5f39de7a79aca,1,0.000000,0.000000,0.166667,0.0,
a5ebea9ff719df9ea3c4446b6b5a884f,1,0.000000,0.000000,0.333333,0.0,
10ac4169eb37c4de0176b3b8839b9b23,2,0.000000,0.750000,1.000000,0.0,
69d70afc0a6b0d88a4b5f39de7a79aca,2,0.000000,0.000000,0.166667,0.0,
a5ebea9ff719df9ea3c4446b6b5a884f,2,0.000000,0.000000,0.333333,0.0,
10ac4169eb37c4de0176b3b8839b9b23,3,0.000000,0.000000,1.000000,0.0,
69d70afc0a6b0d88a4b5f39de7a79aca,3,0.500000,0.000000,0.333333,2147483647,
a5ebea9ff719df9ea3c4446b6b5a884f,3,0.250000,0.000000,1.000000,1073741823,
10ac4169eb37c4de0176b3b8839b9b23,4,0.000000,0.125000,1.000000,0.0,
69d70afc0a6b0d88a4b5f39de7a79aca,4,0.250000,0.250000,1.000000,1073741823,
a5ebea9ff719df9ea3c4446b6b5a884f,4,0.125000,0.125000,0.500000,536870910,
10ac4169eb37c4de0176b3b8839b9b23,5,0.000000,0.000000,1.000000,0.0,
69d70afc0a6b0d88a4b5f39de7a79aca,5,0.500000,0.000000,0.100000,2147483644,
a5ebea9ff719df9ea3c4446b6b5a884f,5,0.375000,0.000000,1.000000,1610612732,
10ac4169eb37c4de0176b3b8839b9b23,6,0.000000,0.000000,1.000000,0.0,
69d70afc0a6b0d88a4b5f39de7a79aca,6,0.500000,0.125000,0.500000,2147483642,
a5ebea9ff719df9ea3c4446b6b5a884f,6,0.375000,0.000000,0.250000,1610612731,
10ac4169eb37c4de0176b3b8839b9b23,7,0.000000,0.000000,1.000000,536870913,
69d70afc0a6b0d88a4b5f39de7a79aca,7,0.500000,0.000000,1.000000,2147483641,
a5ebea9ff719df9ea3c4446b6b5a884f,7,0.375000,0.000000,0.333333,1610612731,
10ac4169eb37c4de0176b3b8839b9b23,8,0.000000,0.000000,1.000000,536870913,
69d70afc0a6b0d88a4b5f39de7a79aca,8,0.320312,0.177734,1.000000,1384120308,
a5ebea9ff719df9ea3c4446b6b5a884f,8,0.375000,0.000000,1.000000,1610612731,
10ac4169eb37c4de0176b3b8839b9b23,9,0.302734,0.000000,1.000000,1300234233,
69d70afc0a6b0d88a4b5f39de7a79aca,9,0.320312,0.000000,1.000000,1384120307,
a5ebea9ff719df9ea3c4446b6b5a884f,9,0.375000,0.000000,1.000000,1610612730,
10ac4169eb37c4de0176b3b8839b9b23,10,0.302734,0.000000,1.000000,1300234233,
69d70afc0a6b0d88a4b5f39de7a79aca,10,0.187500,0.068359,0.250000,1090519028,
a5ebea9ff719df9ea3c4446b6b5a884f,10,0.357422,0.017578,0.500000,1535115253,
10ac4169eb37c4de0176b3b8839b9b23,11,0.388672,0.000000,1.000000,1669332976,
69d70afc0a6b0d88a4b5f39de7a79aca,11,0.187500,0.000000,1.000000,1090519028,
a5ebea9ff719df9ea3c4446b6b5a884f,11,0.357422,0.000000,0.250000,1535115252,
10ac4169eb37c4de0176b3b8839b9b23,12,0.388672,0.000000,1.000000,1669332976,
69d70afc0a6b0d88a4b5f39de7a79aca,12,0.187500,0.000000,0.250000,1090519027,
a5ebea9ff719df9ea3c4446b6b5a884f,12,0.267578,0.045898,0.200000,1337982952,
10ac4169eb37c4de0176b3b8839b9b23,13,0.434570,0.000000,1.000000,1866465256,
