UUID,timeSlot,totalKeys,sharing,consumption,remainder,
899bb3a3bf9f50f6cefbafd7ef04f55a,0,0.000000,0.000000,0.027778,0.0,
b44f12ec9d4a1e425715ae9318fe1865,0,1.000000,0.000000,0.007576,0.0,
899bb3a3bf9f50f6cefbafd7ef04f55a,1,0.000000,0.000000,0.027778,0.0,
b44f12ec9d4a1e425715ae9318fe1865,1,1.000000,0.000000,0.007576,0.0,
f951af056746bc31359ee9001f637d04,1,0.000000,0.000000,0.047619,0.0,
899bb3a3bf9f50f6cefbafd7ef04f55a,2,0.000000,0.000000,0.027778,0.0,
b44f12ec9d4a1e425715ae9318fe1865,2,0.250000,0.750000,0.024390,0.0,
f951af056746bc31359ee9001f637d04,2,0.000000,0.000000,0.047619,0.0,
899bb3a3bf9f50f6cefbafd7ef04f55a,3,0.500000,0.000000,0.090909,2147483647,
b44f12ec9d4a1e425715ae9318fe1865,3,0.250000,0.000000,0.022727,0.0,
f951af056746bc31359ee9001f637d04,3,0.250000,0.000000,0.058824,1073741823,
899bb3a3bf9f50f6cefbafd7ef04f55a,4,0.250000,0.250000,0.200000,1073741823,
b44f12ec9d4a1e425715ae9318fe1865,4,0.125000,0.125000,0.007812,0.0,
f951af056746bc31359ee9001f637d04,4,0.125000,0.125000,0.500000,536870911,
899bb3a3bf9f50f6cefbafd7ef04f55a,5,0.500000,0.000000,0.003953,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,5,0.125000,0.000000,0.040000,0.0,
f951af056746bc31359ee9001f637d04,5,0.375000,0.000000,0.017544,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,6,0.500000,0.000000,0.166667,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,6,0.125000,0.000000,0.016393,0.0,
f951af056746bc31359ee9001f637d04,6,0.375000,0.000000,0.034483,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,7,0.500000,0.000000,0.005917,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,7,0.125000,0.000000,0.010204,0.0,
f951af056746bc31359ee9001f637d04,7,0.375000,0.000000,0.015385,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,8,0.500000,0.000000,0.016393,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,8,0.125000,0.000000,0.111111,0.0,
f951af056746bc31359ee9001f637d04,8,0.375000,0.000000,0.043478,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,9,0.500000,0.000000,0.029412,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,9,0.125000,0.000000,0.022222,0.0,
f951af056746bc31359ee9001f637d04,9,0.375000,0.000000,0.022222,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,10,0.500000,0.000000,0.111111,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,10,0.125000,0.000000,0.047619,0.0,
f951af056746bc31359ee9001f637d04,10,0.375000,0.000000,0.033333,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,11,0.500000,0.000000,0.014925,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,11,0.125000,0.000000,0.500000,0.0,
f951af056746bc31359ee9001f637d04,11,0.375000,0.000000,0.013158,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,12,0.500000,0.000000,0.200000,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,12,0.125000,0.000000,0.250000,0.0,
f951af056746bc31359ee9001f637d04,12,0.375000,0.000000,0.035714,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,13,0.500000,0.000000,0.050000,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,13,0.125000,0.000000,0.333333,0.0,
f951af056746bc31359ee9001f637d04,13,0.375000,0.000000,0.038462,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,14,0.500000,0.000000,0.024390,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,14,0.125000,0.000000,0.014286,0.0,
f951af056746bc31359ee9001f637d04,14,0.375000,0.000000,0.009615,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,15,0.500000,0.000000,0.010526,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,15,0.125000,0.000000,0.047619,0.0,
f951af056746bc31359ee9001f637d04,15,0.375000,0.000000,0.009901,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,16,0.500000,0.000000,0.200000,2147483645,
b44f12ec9d4a1e425715ae9318fe1865,16,0.125000,0.000000,0.009524,0.0,
f951af056746bc31359ee9001f637d04,16,0.375000,0.000000,0.090909,1610612734,
899bb3a3bf9f50f6cefbafd7ef04f55a,17,0.500000,0.000000,0.014925,2147483644,
b44f12ec9d4a1e425715ae9318fe1865,17,0.125000,0.000000,0.111111,0.0,
f951af056746bc31359ee9001f637d04,17,0.375000,0.000000,0.250000,1610612733,
899bb3a3bf9f50f6cefbafd7ef04f55a,18,0.500000,0.000000,0.009009,2147483644,
b44f12ec9d4a1e425715ae9318fe1865,18,0.125000,0.000000,0.018868,0.0,
f951af056746bc31359ee9001f637d04,18,0.375000,0.000000,0.038462,1610612733,
899bb3a3bf9f50f6cefbafd7ef04f55a,19,0.500000,0.000000,0.009434,2147483644,
b44f12ec9d4a1e425715ae9318fe1865,19,0.125000,0.000000,0.033333,0.0,
f951af056746bc31359ee9001f637d04,19,0.375000,0.000000,0.016949,1610612733,
899bb3a3bf9f50f6cefbafd7ef04f55a,20,0.342773,0.157227,0.005556,1472200695,
b44f12ec9d4a1e425715ae9318fe1865,20,0.125000,0.000000,0.003077,0.0,
f951af056746bc31359ee9001f637d04,20,0.308594,0.066406,0.035714,1325400059,
899bb3a3bf9f50f6cefbafd7ef04f55a,21,0.342773,0.000000,0.142857,1472200695,
b44f12ec9d4a1e425715ae9318fe1865,21,0.348633,0.000000,0.006944,1497366519,
f951af056746bc31359ee9001f637d04,21,0.308594,0.000000,0.200000,1325400059,
899bb3a3bf9f50f6cefbafd7ef04f55a,22,0.265625,0.077148,0.045455,1140850675,
b44f12ec9d4a1e425715ae9318fe1865,22,0.348633,0.000000,0.017857,1497366519,
f951af056746bc31359ee9001f637d04,22,0.275391,0.033203,0.037037,1182793718,
899bb3a3bf9f50f6cefbafd7ef04f55a,23,0.265625,0.000000,0.015152,1140850675,
b44f12ec9d4a1e425715ae9318fe1865,23,0.458984,0.000000,0.003937,1971322864,
f951af056746bc31359ee9001f637d04,23,0.275391,0.000000,0.050000,1182793718,
899bb3a3bf9f50f6cefbafd7ef04f55a,24,0.265625,0.000000,0.035714,1140850675,
b44f12ec9d4a1e425715ae9318fe1865,24,0.349609,0.109375,0.015625,1501560817,
f951af056746bc31359ee9001f637d04,24,0.275391,0.000000,0.058824,1182793718,
899bb3a3bf9f50f6cefbafd7ef04f55a,25,0.265625,0.000000,0.008850,1140850675,
b44f12ec9d4a1e425715ae9318fe1865,25,0.349609,0.000000,0.006250,1501560817,
f951af056746bc31359ee9001f637d04,25,0.384766,0.000000,0.041667,1652555762,
899bb3a3bf9f50f6cefbafd7ef04f55a,26,0.265625,0.000000,1.000000,1140850675,
b44f12ec9d4a1e425715ae9318fe1865,26,0.275391,0.074219,0.100000,1182793714,
f951af056746bc31359ee9001f637d04,26,0.329102,0.055664,0.016949,1413480428,
